Genre,Total movies with this genre,Title,Year,Length,Rating
fantasy,16863,Lyle, Lyle, Crocodile,2022,6.3,106
fantasy,16863,Harry Potter and the Sorcerer's Stone,2001,7.6,152
fantasy,16863,The VVitch: A New-England Folktale,2015,6.9,92
fantasy,16863,Blade of the 47 Ronin,2022,4.6,107
fantasy,16863,The Munsters,2022,4.6,109
fantasy,16863,Wendell & Wild,2022,6.6,105
fantasy,16863,Spider-Man: No Way Home,2021,8.3,148
fantasy,16863,DC League of Super-Pets,2022,7.3,105
fantasy,16863,Ghostbusters,1984,7.8,105
fantasy,16863,Casper,1995,6.1,100
fantasy,16863,Slayers,2022,3.0,88
fantasy,16863,The Addams Family,1991,6.9,99
fantasy,16863,Practical Magic,1998,6.2,104
fantasy,16863,Dracula,1992,7.4,128
fantasy,16863,Interview with the Vampire: The Vampire Chronicles,1994,7.5,123
fantasy,16863,Ghostbusters: Afterlife,2021,7.1,124
fantasy,16863,Avatar,2009,7.8,162
fantasy,16863,Sleepy Hollow,1999,7.3,105
fantasy,16863,Doctor Strange in the Multiverse of Madness,2022,6.9,126
fantasy,16863,Thank God,2022,6.2,121
fantasy,16863,The Legend of Maula Jatt,2022,8.9,153
fantasy,16863,The Lord of the Rings: The Return of the King,2003,9.0,201
fantasy,16863,Doctor Sleep,2019,7.3,152
fantasy,16863,Coraline,2009,7.7,100
fantasy,16863,Shazam!,2019,7.0,132
fantasy,16863,Men,2022,6.1,100
fantasy,16863,Suspiria,2018,6.7,152
fantasy,16863,Pinocchio,2022,7.8,117
fantasy,16863,Scooby-Doo,2002,5.2,89
fantasy,16863,It Chapter Two,2019,6.5,169
fantasy,16863,Edward Scissorhands,1990,7.9,105
fantasy,16863,Pinocchio,2022,5.1,105
fantasy,16863,Zack Snyder's Justice League,2021,8.0,242
fantasy,16863,Corpse Bride,2005,7.3,77
film-noir,939,All Through the Night,1942,7.1,107
film-noir,939,Rebecca,1940,8.1,130
film-noir,939,In a Lonely Place,1950,7.9,94
film-noir,939,Sunset Blvd.,1950,8.4,110
film-noir,939,Stranger on the Third Floor,1940,6.8,64
film-noir,939,The Third Man,1949,8.1,104
film-noir,939,Double Indemnity,1944,8.3,107
film-noir,939,The Maltese Falcon,1941,8.0,100
film-noir,939,Crossroads,1942,6.7,83
film-noir,939,Touch of Evil,1958,8.0,95
film-noir,939,The Night of the Hunter,1955,8.0,92
film-noir,939,Scandal Sheet,1952,7.4,82
film-noir,939,A Woman's Secret,1949,6.0,84
film-noir,939,Strangers on a Train,1951,7.9,101
film-noir,939,Born to Be Bad,1950,6.7,94
film-noir,939,They Live by Night,1948,7.4,95
film-noir,939,On Dangerous Ground,1951,7.2,82
film-noir,939,Notorious,1946,7.9,102
film-noir,939,Shadow of a Doubt,1943,7.8,108
film-noir,939,The Big Sleep,1946,7.9,114
film-noir,939,The Killing,1956,8.0,84
film-noir,939,Murder Is My Beat,1955,6.0,77
film-noir,939,Out of the Past,1947,8.0,97
film-noir,939,Laura,1944,7.9,88
film-noir,939,Suspicion,1941,7.3,99
film-noir,939,Caged,1950,7.6,96
film-noir,939,Tight Spot,1955,6.6,97
film-noir,939,Niagara,1953,7.0,92
